transaction_id,upi_id,customer_id,timestamp,amount,transaction_type,merchant_id,counterparty_upi,status,device_id,device_type,channel,fraud_flag,reversal_flag,failure_reason
txn10000070,gregory8334@upi,cust103989,2025-08-03 19:24,60.87,merchant_payment,merch1063,user9990@upi,success,dev103989,tablet,qr_code,FALSE,FALSE,
txn10000071,ryan8732@upi,cust100000,2024-06-20 02:29,79.72,send,,user4999@upi,pending,dev100000,android,intent,FALSE,FALSE,
txn10000072,nicholas9747@upi,cust107410,2025-02-08 08:33,17.06,send,,user4924@upi,success,dev107410,tablet,intent,FALSE,FALSE,
txn10000073,victoria3653@upi,cust103740,2025-05-09 09:34,17.81,receive,,user4985@upi,success,dev103740,tablet,qr_code,FALSE,FALSE,
txn10000074,anthony4096@upi,cust104872,2023-07-31 02:46,90.79,send,,user6645@upi,success,dev104872,tablet,intent,FALSE,FALSE,
txn10000075,alexa3299@upi,cust102154,2023-08-17 10:36,29.53,merchant_payment,merch1147,user3257@upi,success,dev102154,android,app,FALSE,FALSE,
txn10000076,katie9194@upi,cust102333,2024-04-02 03:53,54.07,receive,,user5404@upi,success,dev102333,feature_phone,qr_code,FALSE,FALSE,
txn10000077,timothy9595@upi,cust107957,2025-01-02 09:25,20.77,merchant_payment,merch1425,user3058@upi,success,dev107957,android,app,FALSE,FALSE,
txn10000078,anna6395@upi,cust103528,2024-06-08 07:56,46.4,receive,,user2698@upi,success,dev103528,tablet,qr_code,FALSE,FALSE,
txn10000079,samantha9308@upi,cust109270,2025-03-23 13:12,13.5,receive,,user9272@upi,pending,dev201330,tablet,qr_code,FALSE,FALSE,
txn10000080,thomas5496@upi,cust106043,2025-05-18 14:50,11.54,send,,user7165@upi,failed,dev106043,ios,intent,FALSE,FALSE,incorrect_pin
txn10000081,amy7921@upi,cust109231,2025-02-12 18:54,4.46,send,,user3308@upi,success,dev109231,android,qr_code,FALSE,FALSE,
txn10000082,tracy5860@upi,cust105691,2025-07-18 15:47,12.76,merchant_payment,merch1115,user3114@upi,success,dev105691,tablet,qr_code,FALSE,FALSE,
txn10000083,billy5009@upi,cust103821,2024-10-05 21:04,42.35,merchant_payment,merch1458,user6191@upi,success,dev103821,ios,qr_code,FALSE,FALSE,
txn10000084,lisa9784@upi,cust100556,2025-07-21 05:01,63.4,bill_pay,merch1005,user9436@upi,success,dev100556,ios,qr_code,FALSE,FALSE,
txn10000085,steven8531@upi,cust103716,2025-03-12 10:12,43.16,merchant_payment,merch1153,user7781@upi,success,dev103716,android,intent,FALSE,FALSE,
txn10000086,kimberly9892@upi,cust101804,2025-07-31 21:29,47.22,send,,user6603@upi,success,dev101804,ios,intent,FALSE,FALSE,
txn10000087,cynthia1566@upi,cust101161,2024-03-06 07:20,97.57,bill_pay,merch1045,user2347@upi,success,dev101161,ios,intent,FALSE,FALSE,
txn10000088,rachel4851@upi,cust101224,2024-11-30 19:14,28.86,send,,user8661@upi,success,dev101224,ios,qr_code,FALSE,FALSE,
txn10000089,joseph7526@upi,cust103672,2025-08-06 03:39,20.31,bill_pay,merch1476,user2479@upi,success,dev103672,tablet,intent,FALSE,FALSE,
txn10000090,christina7740@upi,cust102165,2025-05-28 18:09,22.87,merchant_payment,merch1163,user7121@upi,success,dev102165,ios,app,FALSE,FALSE,
txn10000091,jason3516@upi,cust101537,2025-06-30 15:40,57.74,receive,,user7769@upi,success,dev101537,ios,qr_code,FALSE,FALSE,
txn10000092,cheryl5686@upi,cust104377,2025-07-23 14:39,14.25,merchant_payment,merch1049,user8850@upi,success,dev104377,ios,qr_code,FALSE,FALSE,
txn10000093,rebecca6541@upi,cust108467,2024-09-14 11:46,38.01,merchant_payment,merch1406,user6222@upi,failed,dev108467,tablet,app,FALSE,TRUE,account_blocked
txn10000094,daniel9259@upi,cust106514,2024-08-22 00:49,236.38,receive,,user4306@upi,success,dev106514,android,qr_code,FALSE,FALSE,
txn10000095,andrea9880@upi,cust107560,2025-06-19 12:43,10.24,merchant_payment,merch1462,user2981@upi,success,dev107560,ios,intent,FALSE,FALSE,
txn10000096,crystal7368@upi,cust104143,2025-07-13 09:45,75.45,send,,user5349@upi,success,dev104143,ios,app,FALSE,FALSE,
txn10000097,james1289@upi,cust104821,2024-07-10 12:03,20.84,receive,,user7439@upi,success,dev104821,android,app,FALSE,FALSE,
txn10000098,robert5178@upi,cust108058,2025-07-10 03:11,103.22,receive,,user3351@upi,success,dev108058,tablet,intent,FALSE,FALSE,
txn10000099,terry7552@upi,cust102845,2024-07-18 13:27,60.39,send,,user4278@upi,success,dev102845,tablet,qr_code,FALSE,FALSE,
txn10000100,robert1558@upi,cust107206,2025-07-13 16:46,46.23,receive,,user9728@upi,success,dev107206,android,app,FALSE,FALSE,
txn10000101,miss1068@upi,cust106889,2025-02-13 18:16,77.5,receive,,user6155@upi,success,dev106889,android,app,FALSE,FALSE,
txn10000102,andrea8160@upi,cust101382,2025-05-10 08:31,34.61,merchant_payment,merch1158,user9036@upi,success,dev101382,ios,intent,FALSE,FALSE,
txn10000103,ian7731@upi,cust102587,2024-05-24 16:57,9.33,merchant_payment,merch1470,user1604@upi,success,dev102587,tablet,intent,FALSE,FALSE,
txn10000104,anthony3998@upi,cust105572,2024-02-10 21:15,43.25,send,,user9549@upi,success,dev105572,feature_phone,app,FALSE,FALSE,
txn10000105,adam5298@upi,cust108540,2025-06-23 06:06,36.35,receive,,user8346@upi,success,dev108540,android,app,FALSE,FALSE,
txn10000106,toni3593@upi,cust109799,2025-07-23 21:16,25.1,receive,,user3423@upi,failed,dev109799,ios,qr_code,FALSE,FALSE,incorrect_pin
txn10000107,timothy1126@upi,cust106077,2025-02-17 19:09,84.41,send,,user2294@upi,success,dev106077,android,app,FALSE,FALSE,
txn10000108,anthony8493@upi,cust107917,2025-07-12 06:13,91.49,bill_pay,merch1052,user2771@upi,success,dev107917,android,qr_code,FALSE,FALSE,
txn10000109,shari6771@upi,cust109916,2025-03-06 19:15,15.22,receive,,user8155@upi,success,dev109916,tablet,intent,FALSE,FALSE,
txn10000110,victoria6397@upi,cust101596,2025-07-01 08:39,41.98,bill_pay,merch1001,user8504@upi,success,dev101596,tablet,app,FALSE,FALSE,
txn10000111,anna1921@upi,cust104806,2025-02-15 20:36,41.78,send,,user7396@upi,success,dev104806,feature_phone,qr_code,FALSE,FALSE,
txn10000112,julie7874@upi,cust106131,2024-01-21 20:20,55.44,merchant_payment,merch1405,user7681@upi,success,dev106131,tablet,app,FALSE,FALSE,
txn10000113,mr.2013@upi,cust107734,2024-08-09 02:51,40.1,bill_pay,merch1382,user9524@upi,success,dev107734,tablet,qr_code,FALSE,FALSE,
txn10000114,frank1556@upi,cust107250,2025-03-14 12:49,34.91,merchant_payment,merch1267,user3949@upi,success,dev107250,feature_phone,app,FALSE,FALSE,
txn10000115,elizabeth4496@upi,cust109566,2025-07-17 04:06,55.4,send,,user5244@upi,success,dev109566,android,intent,FALSE,FALSE,
txn10000116,kelsey9422@upi,cust107570,2025-07-29 00:36,24.29,receive,,user1718@upi,success,dev107570,feature_phone,intent,FALSE,FALSE,
txn10000117,mary2974@upi,cust109778,2024-11-13 14:34,26.29,merchant_payment,merch1298,user2959@upi,success,dev109778,android,qr_code,FALSE,FALSE,
txn10000118,sandra4573@upi,cust106038,2023-05-17 12:43,220.11,send,,user7792@upi,success,dev106038,feature_phone,intent,FALSE,FALSE,
txn10000119,brett8280@upi,cust103353,2023-05-24 10:07,105.34,merchant_payment,merch1360,user4066@upi,success,dev103353,feature_phone,intent,FALSE,FALSE,
txn10000120,katie6669@upi,cust106435,2025-08-05 11:04,29.41,send,,user7840@upi,success,dev106435,tablet,intent,FALSE,FALSE,
txn10000121,michael3482@upi,cust105719,2025-07-24 14:46,110.84,receive,,user8207@upi,success,dev105719,tablet,app,FALSE,FALSE,
txn10000122,mrs.7319@upi,cust109893,2024-09-20 18:01,76.52,receive,,user3048@upi,success,dev109893,feature_phone,intent,FALSE,FALSE,
txn10000123,allison1309@upi,cust105366,2025-08-01 04:42,62.07,receive,,user8270@upi,success,dev105366,feature_phone,intent,FALSE,FALSE,
txn10000124,lori2738@upi,cust107903,2025-07-18 08:13,56.99,send,,user4923@upi,success,dev107903,tablet,intent,FALSE,FALSE,
txn10000125,alexander3068@upi,cust109481,2024-07-01 19:28,34.12,merchant_payment,merch1472,user6662@upi,success,dev109481,feature_phone,app,FALSE,FALSE,
txn10000126,danielle1513@upi,cust107673,2024-09-05 07:54,22.24,send,,user7443@upi,success,dev107673,ios,intent,FALSE,FALSE,
txn10000127,carol3654@upi,cust109909,2022-10-31 11:59,23.36,receive,,user2028@upi,success,dev109909,ios,qr_code,FALSE,FALSE,
txn10000128,justin9579@upi,cust102216,2025-08-03 12:59,66.99,send,,user5417@upi,failed,dev102216,tablet,intent,FALSE,FALSE,network_error
txn10000129,michael9805@upi,cust103501,2024-06-13 07:03,17.59,receive,,user4310@upi,success,dev103501,ios,app,FALSE,FALSE,
txn10000130,marcus5197@upi,cust107161,2025-02-01 18:30,14.36,merchant_payment,merch1234,user3718@upi,success,dev107161,ios,qr_code,FALSE,FALSE,
txn10000131,ariana2960@upi,cust101670,2023-03-03 13:55,140.83,receive,,user2911@upi,success,dev101670,tablet,qr_code,FALSE,FALSE,
txn10000132,michelle6814@upi,cust103946,2025-07-26 14:52,35.13,send,,user8014@upi,success,dev103946,tablet,intent,FALSE,FALSE,
txn10000133,catherine4208@upi,cust106914,2025-03-27 16:47,40.4,receive,,user4857@upi,success,dev106914,ios,app,FALSE,FALSE,
txn10000134,antonio2976@upi,cust104874,2025-07-31 21:31,104.94,receive,,user9073@upi,success,dev104874,tablet,app,FALSE,FALSE,
txn10000135,heidi3177@upi,cust107424,2024-12-10 03:14,71.31,send,,user3278@upi,success,dev107424,tablet,intent,FALSE,FALSE,
txn10000136,jonathan9878@upi,cust108539,2025-04-01 14:11,18.99,receive,,user7615@upi,success,dev108539,tablet,intent,FALSE,FALSE,
txn10000137,michelle1780@upi,cust107922,2025-07-13 00:37,11.54,merchant_payment,merch1078,user7380@upi,success,dev107922,tablet,app,FALSE,FALSE,
txn10000138,michael4058@upi,cust100035,2025-04-02 06:28,21.27,receive,,user7805@upi,success,dev200282,android,intent,FALSE,FALSE,
txn10000139,laura6683@upi,cust109111,2025-03-11 14:11,47.7,receive,,user5940@upi,success,dev109111,ios,intent,FALSE,FALSE,
txn10000140,james6884@upi,cust109906,2025-07-29 23:19,17.06,send,,user6144@upi,success,dev109906,ios,intent,FALSE,FALSE,
txn10000141,jill7139@upi,cust100784,2024-09-03 23:35,37.32,receive,,user4012@upi,failed,dev201006,feature_phone,app,FALSE,TRUE,bank_down
txn10000142,brooke3337@upi,cust106390,2025-05-16 03:26,18.95,send,,user8190@upi,success,dev106390,ios,app,FALSE,FALSE,
txn10000143,bryan7921@upi,cust106596,2025-05-24 08:03,12.23,receive,,user7268@upi,success,dev106596,android,app,FALSE,FALSE,
txn10000144,crystal7851@upi,cust100317,2023-07-08 01:29,57.58,send,,user5740@upi,success,dev100317,feature_phone,app,FALSE,FALSE,
txn10000145,james1517@upi,cust102834,2024-12-31 09:32,42.57,send,,user3632@upi,success,dev102834,android,app,FALSE,FALSE,
txn10000146,tiffany7103@upi,cust104313,2025-07-31 02:29,23.56,send,,user9228@upi,success,dev104313,ios,intent,FALSE,FALSE,
txn10000147,veronica6904@upi,cust104611,2025-04-25 04:39,16.8,send,,user5696@upi,success,dev104611,feature_phone,app,FALSE,FALSE,
txn10000148,kelsey4021@upi,cust100835,2025-07-26 07:42,16.29,send,,user4858@upi,success,dev100835,ios,app,FALSE,FALSE,
txn10000149,steven1098@upi,cust105519,2025-05-30 04:52,26.15,merchant_payment,merch1475,user7421@upi,success,dev105519,feature_phone,intent,FALSE,FALSE,
txn10000150,laura1209@upi,cust106467,2025-07-05 10:08,114.97,merchant_payment,merch1247,user4814@upi,success,dev106467,tablet,intent,FALSE,FALSE,
txn10000151,richard7591@upi,cust109155,2025-07-07 05:58,63.43,merchant_payment,merch1217,user6702@upi,success,dev109155,ios,app,FALSE,FALSE,
txn10000152,dan9271@upi,cust102752,2025-07-17 18:30,27.29,receive,,user4507@upi,success,dev102752,ios,intent,FALSE,FALSE,
txn10000153,david9678@upi,cust103398,2025-04-01 17:16,97.62,send,,user2035@upi,pending,dev103398,ios,intent,FALSE,FALSE,
txn10000154,marissa4444@upi,cust101803,2025-01-01 15:07,20.8,receive,,user1677@upi,success,dev101803,ios,intent,FALSE,FALSE,
txn10000155,cole1136@upi,cust108438,2024-08-14 20:28,21.83,merchant_payment,merch1430,user4513@upi,success,dev108438,tablet,qr_code,FALSE,FALSE,
txn10000156,leah9216@upi,cust107778,2025-04-23 04:39,51.83,merchant_payment,merch1239,user1829@upi,success,dev107778,ios,qr_code,FALSE,FALSE,
txn10000157,robert5746@upi,cust102085,2025-07-12 21:39,57.77,merchant_payment,merch1177,user8092@upi,success,dev102085,ios,intent,FALSE,FALSE,
txn10000158,gabriel7399@upi,cust109289,2025-05-02 09:28,16.2,receive,,user1619@upi,success,dev109289,tablet,app,FALSE,FALSE,
txn10000159,juan8204@upi,cust106102,2025-05-31 17:00,43.56,bill_pay,merch1298,user7217@upi,success,dev201387,tablet,intent,FALSE,FALSE,
txn10000160,gregory6672@upi,cust104643,2025-04-06 23:49,12.62,receive,,user4561@upi,success,dev104643,tablet,intent,FALSE,FALSE,
txn10000161,billy2572@upi,cust105330,2024-03-26 04:19,27.18,receive,,user1610@upi,success,dev105330,tablet,intent,FALSE,FALSE,
txn10000162,john1182@upi,cust108812,2025-01-11 16:42,17.98,send,,user3699@upi,success,dev108812,android,intent,FALSE,FALSE,
txn10000163,jessica3050@upi,cust105639,2023-07-20 13:51,27.03,send,,user8430@upi,success,dev105639,tablet,intent,FALSE,FALSE,
txn10000164,cynthia8802@upi,cust108544,2024-03-21 11:55,21.25,send,,user9477@upi,success,dev108544,feature_phone,intent,FALSE,FALSE,
txn10000165,christina6919@upi,cust103975,2025-07-02 16:01,19.59,send,,user6178@upi,success,dev103975,feature_phone,intent,FALSE,FALSE,
txn10000166,jordan1856@upi,cust100326,2025-01-26 20:26,46.48,receive,,user1977@upi,success,dev100326,android,intent,FALSE,FALSE,
txn10000167,ronald6996@upi,cust104393,2025-08-03 06:59,49.16,send,,user1972@upi,failed,dev104393,feature_phone,qr_code,FALSE,FALSE,incorrect_pin
txn10000168,jessica2495@upi,cust104827,2025-07-30 19:34,31.93,send,,user8257@upi,success,dev201366,android,app,FALSE,FALSE,
txn10000169,craig8784@upi,cust104840,2024-09-24 18:15,11.51,bill_pay,merch1215,user9258@upi,success,dev104840,android,app,FALSE,FALSE,
txn10000170,angela7298@upi,cust103264,2022-09-10 22:59,9.86,receive,,user5954@upi,failed,dev103264,android,qr_code,FALSE,FALSE,account_blocked
txn10000171,tiffany8591@upi,cust102006,2025-08-04 02:46,30.83,send,,user9355@upi,success,dev102006,tablet,qr_code,FALSE,FALSE,
txn10000172,emily7655@upi,cust109862,2025-08-03 22:37,24.98,send,,user4374@upi,success,dev109862,android,intent,FALSE,FALSE,
txn10000173,thomas7481@upi,cust109907,2025-02-05 15:05,25.35,merchant_payment,merch1036,user9377@upi,success,dev109907,tablet,intent,FALSE,FALSE,
txn10000174,diana5682@upi,cust108842,2025-08-05 16:39,14.18,receive,,user7194@upi,success,dev108842,feature_phone,qr_code,FALSE,FALSE,
txn10000175,terry9034@upi,cust104666,2025-07-20 11:14,18.74,merchant_payment,merch1387,user6984@upi,failed,dev201232,tablet,app,FALSE,FALSE,account_blocked
txn10000176,brianna1236@upi,cust102692,2023-02-10 05:31,56.78,send,,user6293@upi,success,dev102692,android,qr_code,FALSE,FALSE,
txn10000177,melissa4866@upi,cust106150,2024-11-18 19:27,98.26,receive,,user7796@upi,success,dev106150,feature_phone,qr_code,FALSE,FALSE,
txn10000178,stacy9550@upi,cust101555,2025-07-23 01:27,14.91,bill_pay,merch1073,user4496@upi,failed,dev101555,tablet,app,FALSE,FALSE,bank_down
txn10000179,joseph8183@upi,cust103281,2025-07-11 15:54,70.37,merchant_payment,merch1312,user5730@upi,success,dev200174,android,qr_code,FALSE,FALSE,
txn10000180,renee8077@upi,cust105842,2024-05-25 13:03,40.69,send,,user9896@upi,success,dev105842,feature_phone,app,FALSE,FALSE,
txn10000181,deanna1779@upi,cust104283,2025-01-02 22:15,26.03,receive,,user7305@upi,success,dev104283,tablet,app,FALSE,FALSE,
txn10000182,jordan7096@upi,cust106636,2025-02-24 12:25,21.45,receive,,user5956@upi,success,dev106636,ios,app,FALSE,FALSE,
txn10000183,daniel5663@upi,cust102869,2023-11-03 09:49,41.97,send,,user4245@upi,success,dev102869,tablet,app,FALSE,FALSE,
txn10000184,paige4090@upi,cust106744,2025-07-19 21:37,38.57,receive,,user1014@upi,success,dev106744,tablet,app,FALSE,FALSE,
txn10000185,tim5516@upi,cust104936,2025-01-06 14:55,38.35,receive,,user4381@upi,success,dev104936,ios,intent,FALSE,FALSE,
txn10000186,nathaniel9479@upi,cust101046,2025-04-18 00:30,71.89,merchant_payment,merch1141,user3202@upi,success,dev101046,tablet,app,FALSE,FALSE,
txn10000187,angela7263@upi,cust107899,2025-05-27 10:25,24.54,receive,,user8167@upi,success,dev107899,android,intent,FALSE,FALSE,
txn10000188,michael3465@upi,cust104312,2025-08-02 06:44,28.94,receive,,user8236@upi,success,dev104312,feature_phone,intent,FALSE,FALSE,
